                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.78682,                 1.0165,                0.83956,                0.94548,              0.0009802
                      1,                0.54668,                0.55033,                 0.9704,                      1,              0.0009604
                      2,                0.50372,                0.50863,                0.99688,                      1,              0.0009406
                      3,                0.49066,                0.48881,                0.99844,                      1,              0.0009208
                      4,                0.48418,                 0.4889,                0.99377,                      1,               0.000901
                      5,                0.48022,                0.47955,                0.99844,                      1,              0.0008812
                      6,                0.47655,                0.47165,                      1,                      1,              0.0008614
                      7,                0.47297,                0.47238,                      1,                      1,              0.0008416
                      8,                0.47185,                0.47234,                      1,                      1,              0.0008218
                      9,                0.47103,                0.47264,                      1,                      1,               0.000802
                     10,                0.47024,                0.46947,                      1,                      1,              0.0007822
                     11,                0.47054,                0.47108,                      1,                      1,              0.0007624
                     12,                0.46984,                 0.4696,                      1,                      1,              0.0007426
                     13,                0.46977,                0.47019,                      1,                      1,              0.0007228
                     14,                0.46945,                0.46914,                      1,                      1,               0.000703
                     15,                0.46913,                0.46978,                      1,                      1,              0.0006832
                     16,                 0.4692,                0.46829,                      1,                      1,              0.0006634
                     17,                0.46902,                0.47099,                      1,                      1,              0.0006436
                     18,                0.46964,                0.46989,                      1,                      1,              0.0006238
                     19,                 0.4694,                  0.469,                      1,                      1,               0.000604
                     20,                0.46969,                0.46949,                      1,                      1,              0.0005842
                     21,                0.46928,                0.46993,                      1,                      1,              0.0005644
                     22,                0.50911,                 1.3409,                0.66511,                0.97196,              0.0005446
                     23,                0.67392,                0.62292,                0.96885,                      1,              0.0005248
                     24,                0.54087,                0.52899,                0.99065,                      1,               0.000505
                     25,                0.49104,                0.48214,                      1,                      1,              0.0004852
                     26,                 0.4765,                0.47437,                      1,                      1,              0.0004654
                     27,                0.47377,                0.47206,                      1,                      1,              0.0004456
                     28,                0.47203,                0.47089,                      1,                      1,              0.0004258
                     29,                0.47114,                0.47106,                      1,                      1,               0.000406
                     30,                0.47022,                0.46954,                      1,                      1,              0.0003862
                     31,                0.46973,                0.46964,                      1,                      1,              0.0003664
                     32,                0.46937,                0.46819,                      1,                      1,              0.0003466
                     33,                0.46902,                  0.469,                      1,                      1,              0.0003268
                     34,                 0.4688,                0.46838,                      1,                      1,               0.000307
                     35,                0.46886,                0.46852,                      1,                      1,              0.0002872
                     36,                0.46847,                0.46785,                      1,                      1,              0.0002674
                     37,                0.46837,                0.46789,                      1,                      1,              0.0002476
                     38,                0.46805,                 0.4678,                      1,                      1,              0.0002278
                     39,                0.46806,                0.46819,                      1,                      1,               0.000208
                     40,                0.46799,                0.46763,                      1,                      1,              0.0001882
                     41,                0.46808,                0.46822,                      1,                      1,              0.0001684
                     42,                0.46801,                0.46764,                      1,                      1,              0.0001486
                     43,                0.46779,                0.46769,                      1,                      1,              0.0001288
                     44,                0.46776,                0.46775,                      1,                      1,               0.000109
                     45,                0.46764,                0.46749,                      1,                      1,               8.92e-05
                     46,                0.46767,                0.46755,                      1,                      1,               6.94e-05
                     47,                0.46766,                0.46744,                      1,                      1,               4.96e-05
                     48,                0.46751,                0.46745,                      1,                      1,               2.98e-05
                     49,                 0.4675,                0.46737,                      1,                      1,                  1e-05
